2015-08-29 19:36:11 - infiSTAR.de AdminLog | 0h 47min | K2LU AdminGiveAmmo K2LU   |Instance: 24 - ArmA2OA163125548 - 04012015IAHAT341B | K2LU(any)
2015-08-29 19:36:13 - infiSTAR.de AdminLog | 0h 47min | K2LU AdminGiveAmmo K2LU   |Instance: 24 - ArmA2OA163125548 - 04012015IAHAT341B | K2LU(any)
2015-08-29 19:36:34 - infiSTAR.de AdminLog | 0h 47min | K2LU AdminGiveAmmo K2LU   |Instance: 24 - ArmA2OA163125548 - 04012015IAHAT341B | K2LU(any)
2015-08-29 19:36:35 - infiSTAR.de AdminLog | 0h 47min | K2LU AdminGiveAmmo K2LU   |Instance: 24 - ArmA2OA163125548 - 04012015IAHAT341B | K2LU(any)
2015-08-29 19:36:36 - infiSTAR.de AdminLog | 0h 47min | K2LU AdminGiveAmmo K2LU   |Instance: 24 - ArmA2OA163125548 - 04012015IAHAT341B | K2LU(any)
2015-08-29 19:36:36 - infiSTAR.de AdminLog | 0h 47min | K2LU AdminGiveAmmo K2LU   |Instance: 24 - ArmA2OA163125548 - 04012015IAHAT341B | K2LU(any)
2015-08-29 20:05:16 - infiSTAR.de AdminLog | 1h 16min | K2LU GroupIcons Activated   |Instance: 24 - ArmA2OA163125548 - 04012015IAHAT341B | K2LU(any)
2015-08-29 20:05:27 - infiSTAR.de AdminLog | 1h 16min | K2LU GroupIcons Disabled   |Instance: 24 - ArmA2OA163125548 - 04012015IAHAT341B | K2LU(any)
2015-08-29 20:05:36 - infiSTAR.de AdminLog | 1h 16min | K2LU DEADMarker Activated   |Instance: 24 - ArmA2OA163125548 - 04012015IAHAT341B | K2LU(any)
2015-08-29 20:11:15 - infiSTAR.de AdminLog | 1h 22min | WeskeR Spectating WeskeR   |Instance: 24 - ArmA2OA163125548 - 04012015IAHAT341B | WeskeR(any)
2015-08-29 20:11:16 - infiSTAR.de AdminLog | 1h 22min | WeskeR Spectating K2LU   |Instance: 24 - ArmA2OA163125548 - 04012015IAHAT341B | WeskeR(any)
2015-08-29 20:13:38 - infiSTAR.de AdminLog | 1h 24min | WeskeR minus 2500 Humanity to K2LU   |Instance: 24 - ArmA2OA163125548 - 04012015IAHAT341B | WeskeR(any)
2015-08-29 20:13:39 - infiSTAR.de AdminLog | 1h 24min | WeskeR minus 2500 Humanity to K2LU   |Instance: 24 - ArmA2OA163125548 - 04012015IAHAT341B | WeskeR(any)
2015-08-29 20:13:41 - infiSTAR.de AdminLog | 1h 24min | WeskeR minus 2500 Humanity to K2LU   |Instance: 24 - ArmA2OA163125548 - 04012015IAHAT341B | WeskeR(any)
2015-08-29 20:13:42 - infiSTAR.de AdminLog | 1h 24min | WeskeR minus 2500 Humanity to K2LU   |Instance: 24 - ArmA2OA163125548 - 04012015IAHAT341B | WeskeR(any)
2015-08-29 20:24:30 - infiSTAR.de AdminLog | 1h 35min | WeskeR Spectating K2LU   |Instance: 24 - ArmA2OA163125548 - 04012015IAHAT341B | WeskeR(any)
2015-08-29 20:25:22 - infiSTAR.de AdminLog | 1h 36min | WeskeR G_o_d ON   |Instance: 24 - ArmA2OA163125548 - 04012015IAHAT341B | WeskeR(any)
2015-08-29 20:25:27 - infiSTAR.de AdminLog | 1h 36min | WeskeR DEADMarker Activated   |Instance: 24 - ArmA2OA163125548 - 04012015IAHAT341B | WeskeR(any)
2015-08-29 20:35:17 - infiSTAR.de AdminLog | 1h 46min | GH0ST G_o_d ON   |Instance: 24 - ArmA2OA163125548 - 04012015IAHAT341B | GH0ST(any)
2015-08-29 20:35:18 - infiSTAR.de AdminLog | 1h 46min | GH0ST adminammo_recoil ON   |Instance: 24 - ArmA2OA163125548 - 04012015IAHAT341B | GH0ST(any)
2015-08-29 20:35:19 - infiSTAR.de AdminLog | 1h 46min | GH0ST Spectating WeskeR   |Instance: 24 - ArmA2OA163125548 - 04012015IAHAT341B | GH0ST(any)
2015-08-29 20:35:29 - infiSTAR.de AdminLog | 1h 46min | GH0ST Moving to WeskeR   |Instance: 24 - ArmA2OA163125548 - 04012015IAHAT341B | GH0ST(any)
2015-08-29 20:42:20 - infiSTAR.de AdminLog | 1h 53min | GH0ST TP infront of you ON   |Instance: 24 - ArmA2OA163125548 - 04012015IAHAT341B | GH0ST(any)
2015-08-29 20:48:11 - infiSTAR.de AdminLog | 1h 59min | GH0ST - added ItemBriefcase100oz to his inventory   |Instance: 24 - ArmA2OA163125548 - 04012015IAHAT341B | GH0ST(any)
2015-08-29 20:48:12 - infiSTAR.de AdminLog | 1h 59min | GH0ST - added ItemBriefcase100oz to his inventory   |Instance: 24 - ArmA2OA163125548 - 04012015IAHAT341B | GH0ST(any)
2015-08-29 20:48:12 - infiSTAR.de AdminLog | 1h 59min | GH0ST - added ItemBriefcase100oz to his inventory   |Instance: 24 - ArmA2OA163125548 - 04012015IAHAT341B | GH0ST(any)
2015-08-29 20:48:12 - infiSTAR.de AdminLog | 1h 59min | GH0ST - added ItemBriefcase100oz to his inventory   |Instance: 24 - ArmA2OA163125548 - 04012015IAHAT341B | GH0ST(any)
